Name	Kit	Sample_source	Replicate
EdgeSeq_miRXplore_1	EdgeSeq	miRXplore	1
EdgeSeq_miRXplore_2	EdgeSeq	miRXplore	2
EdgeSeq_plasma_1	EdgeSeq	plasma_gel	1
EdgeSeq_plasma_2	EdgeSeq	plasma_gel	2
Lexogen_miRXplore_1	Lexogen	miRXplore	1
Lexogen_miRXplore_2	Lexogen	miRXplore	2
Lexogen_plasma_1	Lexogen	plasma_gel	1
Lexogen_plasma_2	Lexogen	plasma_gel	2
NEXTflex_miRXplore_1	NEXTflex	miRXplore	1
NEXTflex_miRXplore_2	NEXTflex	miRXplore	2
NEXTflex_plasma_1	NEXTflex	plasma_gel	1
NEXTflex_plasma_2	NEXTflex	plasma_gel	2
Norgen_miRXplore_1	Norgen	miRXplore	1
Norgen_miRXplore_2	Norgen	miRXplore	2
Norgen_plasma_1	Norgen	plasma_gel	1
Norgen_plasma_2	Norgen	plasma_gel	2
QIAseq_miRXplore_1	QIAseq	miRXplore	1
QIAseq_miRXplore_2	QIAseq	miRXplore	2
QIAseq_plasma_1	QIAseq	plasma_gel	1
QIAseq_plasma_2	QIAseq	plasma_gel	2
RealSeq_miRXplore_1	RealSeq	miRXplore	1
RealSeq_miRXplore_2	RealSeq	miRXplore	2
RealSeq_plasma_1	RealSeq	plasma_gel	1
RealSeq_plasma_2	RealSeq	plasma_gel	2
SMARTer_miRXplore_1	SMARTer	miRXplore	1
SMARTer_miRXplore_2	SMARTer	miRXplore	2
SMARTer_plasma_1	SMARTer	plasma_gel	1
SMARTer_plasma_2	SMARTer	plasma_gel	2
UMINEXTflex_miRXplore_1	NEXTflex_UMI	miRXplore	1
UMINEXTflex_miRXplore_2	NEXTflex_UMI	miRXplore	2
UMINEXTflex_plasma_1	NEXTflex_UMI	plasma_gel	1
UMINEXTflex_plasma_2	NEXTflex_UMI	plasma_gel	2
UMIQIAseq_miRXplore_1	QIAseq_UMI	miRXplore	1
UMIQIAseq_miRXplore_2	QIAseq_UMI	miRXplore	2
UMIQIAseq_plasma_1	QIAseq_UMI	plasma_gel	1
UMIQIAseq_plasma_2	QIAseq_UMI	plasma_gel	2
