Sample	Input reads	Reads with adaptor	Reads with adaptor %	Reads too short after trimming	Reads too short after trimming %
QIAseq_miRXplore	13607554	13487421	99.12	57	0.0
EdgeSeq_miRXplore	2099609	2090647	99.57	356	0.02
EdgeSeq_miRXplore	2357789	2347614	99.57	361	0.02
EdgeSeq_plasma	1618104	1600141	98.89	973	0.06
EdgeSeq_plasma	1674914	1657498	98.96	914	0.05
Lexogen_miRXplore	9233363	9164149	99.25	60502	0.66
Lexogen_miRXplore	8538665	8496591	99.51	44417	0.52
Lexogen_plasma	11032370	10963509	99.38	401065	3.64
Lexogen_plasma	9910115	9793490	98.82	614886	6.2
NEXTflex_miRXplore	10266335	10197017	99.32	5255	0.05
NEXTflex_miRXplore	10516947	10414041	99.02	9918	0.09
NEXTflex_plasma	10619769	10477843	98.66	153962	1.45
NEXTflex_plasma	15911446	15730784	98.86	208317	1.31
Norgen_miRXplore	14092795	14014553	99.44	28957	0.21
Norgen_miRXplore	13010161	12927742	99.37	14350	0.11
Norgen_plasma	11050092	10854893	98.23	81568	0.74
Norgen_plasma	11101533	10941578	98.56	139093	1.25
QIAseq_miRXplore	12388667	12229736	98.72	95	0.0
QIAseq_plasma	11329263	11192445	98.79	660	0.01
QIAseq_plasma	11705870	11519132	98.4	1245	0.01
RealSeq_miRXplore	17930225	17829129	99.44	54973	0.31
RealSeq_miRXplore	13189488	13097849	99.31	53735	0.41
RealSeq_plasma	13567739	13444490	99.09	18491	0.14
RealSeq_plasma	10914586	10797148	98.92	9054	0.08
SMARTer_miRXplore	8266475	8257947	99.9	9897	0.12
SMARTer_miRXplore	6902048	6870822	99.55	7885	0.11
SMARTer_plasma	5859157	5844730	99.75	161750	2.76
SMARTer_plasma	6483149	6445115	99.41	182148	2.81
NEXTflex_miRXplore_UMI	10266335	10197280	99.33	282	0.0
NEXTflex_miRXplore_UMI	10516947	10414312	99.02	290	0.0
NEXTflex_plasma_UMI	10619769	10479380	98.68	160	0.0
NEXTflex_plasma_UMI	15911446	15733335	98.88	292	0.0
QIAseq_miRXplore_UMI	12388667	12190750	98.4
QIAseq_miRXplore_UMI	13607554	13446157	98.81
QIAseq_plasma_UMI	11329263	11146345	98.39
QIAseq_plasma_UMI	11705870	11469052	97.98
