Sample	Filtered_out	Short_reads	Short_reads_%	Long_reads	Long_reads_%
NEXTflex_miRXplore_UMI	128097.0	45983.0	35.89701554290889	82114.0	64.10298445709111
EdgeSeq_miRXplore	21236.0	12339.0	58.10416274251271	8897.0	41.89583725748729
EdgeSeq_miRXplore	23856.0	13837.0	58.0021797451375	10019.0	41.9978202548625
EdgeSeq_plasma	34969.0	17066.0	48.803225714204004	17903.0	51.19677428579599
EdgeSeq_plasma	34922.0	17624.0	50.46675448141572	17298.0	49.53324551858427
Lexogen_miRXplore	268483.0	170203.0	63.394330367285825	98280.0	36.605669632714175
Lexogen_miRXplore	409469.0	268818.0	65.6503911162994	140651.0	34.3496088837006
Lexogen_plasma	4350403.0	2390024.0	54.937990802231425	1960379.0	45.062009197768575
Lexogen_plasma	2909615.0	1863039.0	64.03043014281958	1046576.0	35.96956985718042
NEXTflex_miRXplore	129124.0	45892.0	35.54103032743719	83232.0	64.4589696725628
NEXTflex_miRXplore	154229.0	39561.0	25.650817939557413	114668.0	74.34918206044259
NEXTflex_plasma	2267399.0	1821296.0	80.32534194466876	446103.0	19.67465805533124
NEXTflex_plasma	4155421.0	3599603.0	86.62426743283052	555818.0	13.375732567169488
Norgen_miRXplore	339348.0	207460.0	61.13488218583873	131888.0	38.86511781416127
Norgen_miRXplore	301357.0	196083.0	65.06668170973298	105274.0	34.933318290267025
Norgen_plasma	1289386.0	588443.0	45.63745844921536	700943.0	54.36254155078464
Norgen_plasma	926955.0	545322.0	58.82939301260579	381633.0	41.17060698739421
QIAseq_miRXplore	201736.0	14230.0	7.053773248205577	187506.0	92.94622675179443
QIAseq_miRXplore	157684.0	15103.0	9.57801679307983	142581.0	90.42198320692016
QIAseq_plasma	1943606.0	1510291.0	77.70561523271692	433315.0	22.29438476728308
QIAseq_plasma	2151280.0	1660575.0	77.19009148042096	490705.0	22.809908519579043
RealSeq_miRXplore	298807.0	134225.0	44.92029972524071	164582.0	55.07970027475929
RealSeq_miRXplore	233283.0	100290.0	42.99070228006327	132993.0	57.009297719936725
RealSeq_plasma	1147165.0	518044.0	45.158630188333845	629121.0	54.841369811666155
RealSeq_plasma	935774.0	467713.0	49.98140576677702	468061.0	50.01859423322298
SMARTer_miRXplore	457947.0	320257.0	69.93320187707312	137690.0	30.06679812292689
SMARTer_miRXplore	401204.0	259691.0	64.72791896391861	141513.0	35.272081036081396
SMARTer_plasma	3492056.0	2280657.0	65.30986330116126	1211399.0	34.690136698838735
SMARTer_plasma	3899500.0	2579050.0	66.13796640594948	1320450.0	33.862033594050516
NEXTflex_miRXplore_UMI	153171.0	39675.0	25.902422782380473	113496.0	74.09757721761953
NEXTflex_plasma_UMI	2264163.0	1821191.0	80.43550751425582	442972.0	19.564492485744182
NEXTflex_plasma_UMI	4150824.0	3599387.0	86.71499923870537	551437.0	13.285000761294624
QIAseq_miRXplore_UMI	38994.0	14037.0	35.99784582243422	24957.0	64.00215417756579
QIAseq_miRXplore_UMI	34622.0	14898.0	43.030443070879784	19724.0	56.969556929120216
QIAseq_plasma_UMI	1798482.0	1507233.0	83.80584292753555	291249.0	16.194157072464446
QIAseq_plasma_UMI	1953343.0	1657262.0	84.84234463686101	296081.0	15.15765536313899
