Sample	Input reads	Aligned reads	Aligned reads %	Failed to align	Failed to align %
EdgeSeq_miRXplore	2078017	48575	2.34	2029442	97.66
EdgeSeq_miRXplore	2333572	54724	2.35	2278848	97.65
EdgeSeq_plasma	1582162	11431	0.72	1570731	99.28
EdgeSeq_plasma	1639078	11636	0.71	1627442	99.29
Lexogen_miRXplore	8904378	51595	0.58	8852783	99.42
Lexogen_miRXplore	8084779	163759	2.03	7921020	97.97
Lexogen_plasma	6280902	2614668	41.63	3666234	58.37
Lexogen_plasma	6385614	1336681	20.93	5048933	79.07
NEXTflex_miRXplore	10131956	74508	0.74	10057448	99.26
NEXTflex_miRXplore	10352800	78334	0.76	10274466	99.24
NEXTflex_plasma	8198408	1092767	13.33	7105641	86.67
NEXTflex_plasma	11547708	1840401	15.94	9707307	84.06
Norgen_miRXplore	13724490	84010	0.61	13640480	99.39
Norgen_miRXplore	12694454	43432	0.34	12651022	99.66
Norgen_plasma	9679138	645405	6.67	9033733	93.33
Norgen_plasma	10035485	369647	3.68	9665838	96.32
QIAseq_miRXplore	12186836	81103	0.67	12105733	99.33
QIAseq_miRXplore	13449813	86338	0.64	13363475	99.36
QIAseq_plasma	9384997	870651	9.28	8514346	90.72
QIAseq_plasma	9553345	930811	9.74	8622534	90.26
RealSeq_miRXplore	17576445	78371	0.45	17498074	99.55
RealSeq_miRXplore	12902470	58370	0.45	12844100	99.55
RealSeq_plasma	12402083	941584	7.59	11460499	92.41
RealSeq_plasma	9969758	750481	7.53	9219277	92.47
SMARTer_miRXplore	7798631	123186	1.58	7675445	98.42
SMARTer_miRXplore	6492959	104098	1.6	6388861	98.4
SMARTer_plasma	2205351	511428	23.19	1693923	76.81
SMARTer_plasma	2401501	555777	23.14	1845724	76.86
NEXTflex_miRXplore_UMI	10129321	74619	0.74	10054702	99.26
NEXTflex_miRXplore_UMI	10350008	78362	0.76	10271646	99.24
NEXTflex_plasma_UMI	8196861	1092770	13.33	7104091	86.67
NEXTflex_plasma_UMI	11545349	1840270	15.94	9705079	84.06
QIAseq_miRXplore_UMI	12151756	80803	0.66	12070953	99.34
QIAseq_miRXplore_UMI	13411535	86097	0.64	13325438	99.36
QIAseq_plasma_UMI	9347863	867877	9.28	8479986	90.72
QIAseq_plasma_UMI	9515709	927970	9.75	8587739	90.25
