Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
EdgeSeq_plasma	2079	0	0.0	0	0.0	1.49	0.00	79.89	18.61	-nan	0.00
EdgeSeq_plasma	2066	0	0.0	0	0.0	1.36	0.00	78.85	19.80	-nan	0.00
Lexogen_plasma	69091	1	0.0	710	1.03	4.15	0.00	79.92	14.90	0.00	23.00
Lexogen_plasma	94609	42	0.04	1838	1.94	5.96	0.00	75.24	16.82	0.14	16.45
NEXTflex_plasma	106000	658	0.62	4461	4.21	1.75	0.00	83.96	9.46	1.53	19.60
NEXTflex_plasma	192034	1054	0.55	8256	4.3	1.40	0.00	85.33	8.42	1.17	19.57
Norgen_plasma	56126	2	0.0	984	1.75	3.10	0.00	74.43	20.71	2.38	21.00
Norgen_plasma	60967	100	0.16	880	1.44	4.42	0.00	73.36	20.61	2.61	19.95
QIAseq_plasma	78644	652	0.83	3249	4.13	2.91	0.00	77.33	14.80	1.23	19.54
QIAseq_plasma	83738	719	0.86	3267	3.9	2.79	0.00	77.64	14.81	1.32	19.63
RealSeq_plasma	332625	104	0.03	917	0.28	1.14	0.00	74.72	23.83	1.31	21.25
RealSeq_plasma	278858	97	0.03	694	0.25	1.06	0.00	76.45	22.21	1.29	21.49
SMARTer_plasma	264399	144	0.05	454	0.17	1.17	0.00	66.99	31.61	2.41	21.01
SMARTer_plasma	282834	136	0.05	467	0.17	1.21	0.00	67.45	31.12	2.32	20.92
