Sample	Input reads	Aligned reads	Aligned reads %	Failed to align	Failed to align %
EdgeSeq_miRXplore	2029442	0	0.0	2029442	100.0
EdgeSeq_miRXplore	2278848	0	0.0	2278848	100.0
EdgeSeq_plasma	1570731	0	0.0	1570731	100.0
EdgeSeq_plasma	1627442	0	0.0	1627442	100.0
Lexogen_miRXplore	8852783	0	0.0	8852783	100.0
Lexogen_miRXplore	7921020	1	0.0	7921019	100.0
Lexogen_plasma	3666234	6545	0.18	3659689	99.82
Lexogen_plasma	5048933	11608	0.23	5037325	99.77
NEXTflex_miRXplore	10057448	3	0.0	10057445	100.0
NEXTflex_miRXplore	10274466	0	0.0	10274466	100.0
NEXTflex_plasma	7105641	24666	0.35	7080975	99.65
NEXTflex_plasma	9707307	36643	0.38	9670664	99.62
Norgen_miRXplore	13640480	2	0.0	13640478	100.0
Norgen_miRXplore	12651022	22	0.0	12651000	100.0
Norgen_plasma	9033733	6567	0.07	9027166	99.93
Norgen_plasma	9665838	9196	0.1	9656642	99.9
QIAseq_miRXplore	12105733	0	0.0	12105733	100.0
QIAseq_miRXplore	13363475	0	0.0	13363475	100.0
QIAseq_plasma	8514346	56080	0.66	8458266	99.34
QIAseq_plasma	8622534	54902	0.64	8567632	99.36
RealSeq_miRXplore	17498074	1	0.0	17498073	100.0
RealSeq_miRXplore	12844100	2	0.0	12844098	100.0
RealSeq_plasma	11460499	3742	0.03	11456757	99.97
RealSeq_plasma	9219277	1998	0.02	9217279	99.98
SMARTer_miRXplore	7675445	0	0.0	7675445	100.0
SMARTer_miRXplore	6388861	0	0.0	6388861	100.0
SMARTer_plasma	1693923	4073	0.24	1689850	99.76
SMARTer_plasma	1845724	4699	0.25	1841025	99.75
NEXTflex_miRXplore_UMI	10054702	3	0.0	10054699	100.0
NEXTflex_miRXplore_UMI	10271646	0	0.0	10271646	100.0
NEXTflex_plasma_UMI	7104091	24662	0.35	7079429	99.65
NEXTflex_plasma_UMI	9705079	36636	0.38	9668443	99.62
QIAseq_miRXplore_UMI	12070953	0	0.0	12070953	100.0
QIAseq_miRXplore_UMI	13325438	0	0.0	13325438	100.0
QIAseq_plasma_UMI	8479986	55929	0.66	8424057	99.34
QIAseq_plasma_UMI	8587739	54788	0.64	8532951	99.36
