Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
Norgen_miRXplore	13640478	12885583	94.47	21654	0.16	3.75	0.00	0.41	1.22	0.63	22.14
EdgeSeq_miRXplore	2029442	1835815	90.46	62690	3.09	4.39	0.00	1.25	0.81	0.05	18.92
EdgeSeq_miRXplore	2278848	2061399	90.46	71004	3.12	4.43	0.00	1.21	0.79	0.05	18.92
EdgeSeq_plasma	1570731	1425665	90.76	5572	0.35	3.97	0.00	3.13	1.77	0.01	18.99
EdgeSeq_plasma	1627442	1479427	90.91	5751	0.35	3.84	0.00	3.17	1.73	0.01	18.99
Lexogen_miRXplore	8852783	8369989	94.55	14045	0.16	3.57	0.00	0.41	1.31	0.58	22.20
Lexogen_miRXplore	7921019	7458241	94.16	12492	0.16	3.66	0.00	0.49	1.54	0.60	22.19
Lexogen_plasma	3659689	2287074	62.49	16696	0.46	0.87	0.00	5.51	30.67	0.19	21.53
Lexogen_plasma	5037325	3654438	72.55	31587	0.63	1.13	0.00	4.45	21.24	0.21	21.50
NEXTflex_miRXplore	10057445	9440260	93.86	75904	0.75	3.71	0.00	0.49	1.18	0.57	21.85
NEXTflex_miRXplore	10274466	9651230	93.93	72125	0.7	3.71	0.00	0.50	1.15	0.57	21.84
NEXTflex_plasma	7080975	5553581	78.43	13571	0.19	0.98	0.00	5.95	14.45	0.17	21.10
NEXTflex_plasma	9670664	7207166	74.53	24586	0.25	1.02	0.00	7.46	16.74	0.17	21.12
Norgen_miRXplore	12651000	11952422	94.48	21074	0.17	3.74	0.00	0.41	1.21	0.63	22.15
Norgen_plasma	9027166	6635732	73.51	16934	0.19	0.51	0.00	1.30	24.50	0.18	21.69
Norgen_plasma	9656642	7139858	73.94	18437	0.19	0.53	0.00	1.22	24.12	0.18	21.69
QIAseq_miRXplore	12105733	11454881	94.62	66852	0.55	3.47	0.00	0.37	0.98	0.59	21.92
QIAseq_miRXplore	13363475	12660090	94.74	66266	0.5	3.44	0.00	0.36	0.97	0.59	21.93
QIAseq_plasma	8458266	7264364	85.88	33649	0.4	1.00	0.00	3.41	9.31	0.20	21.63
QIAseq_plasma	8567632	7328779	85.54	36007	0.42	0.97	0.00	3.59	9.48	0.20	21.61
RealSeq_miRXplore	17498073	16031491	91.62	149595	0.85	5.68	0.00	0.52	1.33	0.85	21.68
RealSeq_miRXplore	12844098	11725207	91.29	105695	0.82	6.06	0.00	0.53	1.30	0.93	21.68
RealSeq_plasma	11456757	7916038	69.09	125866	1.1	0.71	0.00	2.09	27.00	0.31	20.93
RealSeq_plasma	9217279	6409925	69.54	102754	1.11	0.75	0.00	2.19	26.41	0.35	20.92
SMARTer_miRXplore	7675445	5858005	76.32	187280	2.44	10.75	0.00	2.44	8.05	1.52	21.10
SMARTer_miRXplore	6388861	4801822	75.16	154389	2.42	11.22	0.00	2.48	8.72	1.61	21.10
SMARTer_plasma	1689850	343185	20.31	4721	0.28	2.44	0.00	22.59	54.38	1.57	20.71
SMARTer_plasma	1841025	379259	20.6	5226	0.28	2.38	0.00	22.45	54.29	1.54	20.66
NEXTflex_miRXplore_UMI	10054699	9437612	93.86	75884	0.75	3.71	0.00	0.49	1.18	0.57	21.85
NEXTflex_miRXplore_UMI	10271646	9648549	93.93	72096	0.7	3.71	0.00	0.50	1.15	0.57	21.84
NEXTflex_plasma_UMI	7079429	5552049	78.43	13567	0.19	0.98	0.00	5.95	14.45	0.17	21.10
NEXTflex_plasma_UMI	9668443	7205327	74.52	24585	0.25	1.02	0.00	7.46	16.74	0.17	21.12
QIAseq_miRXplore_UMI	12070953	11422890	94.63	66614	0.55	3.47	0.00	0.37	0.97	0.59	21.92
QIAseq_miRXplore_UMI	13325438	12624652	94.74	66013	0.5	3.44	0.00	0.36	0.96	0.59	21.93
QIAseq_plasma_UMI	8424057	7234136	85.87	33401	0.4	1.00	0.00	3.41	9.32	0.20	21.63
QIAseq_plasma_UMI	8532951	7297967	85.53	35881	0.42	0.97	0.00	3.59	9.49	0.20	21.61
