Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
Norgen_miRXplore	13640478	5477550	40.16	1163299	8.53	51.14	0.00	0.17	0.00	0.62	22.24
EdgeSeq_miRXplore	2029442	1419372	69.94	324693	16.0	14.02	0.00	0.04	0.00	0.06	18.97
EdgeSeq_miRXplore	2278848	1589949	69.77	366094	16.06	14.13	0.00	0.04	0.00	0.06	18.97
EdgeSeq_plasma	1570731	1232476	78.47	253266	16.12	5.39	0.00	0.01	0.02	0.00	18.99
EdgeSeq_plasma	1627442	1279380	78.61	262109	16.11	5.26	0.00	0.01	0.02	0.00	18.99
Lexogen_miRXplore	8852783	3783733	42.74	536091	6.06	51.04	0.00	0.16	0.00	0.52	22.35
Lexogen_miRXplore	7921019	3369775	42.54	454696	5.74	51.53	0.00	0.18	0.00	0.54	22.33
Lexogen_plasma	3659689	505688	13.82	2299228	62.83	22.39	0.00	0.96	0.01	0.44	21.32
Lexogen_plasma	5037325	809918	16.08	3582467	71.12	12.00	0.01	0.78	0.01	0.37	21.28
NEXTflex_miRXplore	10057445	4105604	40.82	565907	5.63	53.40	0.00	0.15	0.01	0.79	21.91
NEXTflex_miRXplore	10274466	4123175	40.13	572147	5.57	54.14	0.00	0.15	0.01	0.78	21.90
NEXTflex_plasma	7080975	4043490	57.1	2047643	28.92	13.29	0.01	0.63	0.05	0.16	20.97
NEXTflex_plasma	9670664	4827932	49.92	3280935	33.93	15.30	0.02	0.78	0.06	0.19	20.99
Norgen_miRXplore	12651000	5071802	40.09	1035131	8.18	51.56	0.00	0.17	0.00	0.60	22.26
Norgen_plasma	9027166	451164	5.0	8089907	89.62	5.15	0.00	0.22	0.01	0.66	21.50
Norgen_plasma	9656642	543572	5.63	8672456	89.81	4.35	0.01	0.20	0.01	0.58	21.46
QIAseq_miRXplore	12105733	4840000	39.98	745075	6.15	53.72	0.00	0.14	0.01	0.98	21.97
QIAseq_miRXplore	13363475	5329389	39.88	813342	6.09	53.89	0.00	0.14	0.00	0.99	21.98
QIAseq_plasma	8458266	1725692	20.4	6010596	71.06	8.22	0.01	0.29	0.02	0.35	21.24
QIAseq_plasma	8567632	1805735	21.08	5991649	69.93	8.65	0.01	0.32	0.02	0.34	21.21
RealSeq_miRXplore	17498073	7750771	44.29	1042416	5.96	49.53	0.00	0.21	0.01	1.04	21.71
RealSeq_miRXplore	12844098	5635096	43.87	772328	6.01	49.88	0.00	0.23	0.01	1.10	21.71
RealSeq_plasma	11456757	9905542	86.46	681803	5.95	7.39	0.00	0.19	0.01	0.27	21.38
RealSeq_plasma	9217279	8018648	87.0	495115	5.37	7.44	0.00	0.19	0.01	0.31	21.36
SMARTer_miRXplore	7675445	2825378	36.81	545568	7.11	55.67	0.00	0.40	0.01	1.79	21.23
SMARTer_miRXplore	6388861	2330378	36.48	451154	7.06	56.04	0.00	0.42	0.01	1.87	21.23
SMARTer_plasma	1689850	388009	22.96	338076	20.01	54.76	0.02	2.19	0.06	1.49	21.40
SMARTer_plasma	1841025	423135	22.98	367509	19.96	54.79	0.02	2.17	0.07	1.48	21.38
NEXTflex_miRXplore_UMI	10054699	4104409	40.82	565780	5.63	53.40	0.00	0.15	0.01	0.79	21.91
NEXTflex_miRXplore_UMI	10271646	4122028	40.13	572003	5.57	54.14	0.00	0.15	0.01	0.78	21.90
NEXTflex_plasma_UMI	7079429	4042410	57.1	2047082	28.92	13.29	0.01	0.63	0.05	0.16	20.97
NEXTflex_plasma_UMI	9668443	4826750	49.92	3280114	33.93	15.30	0.02	0.78	0.06	0.19	20.99
QIAseq_miRXplore_UMI	12070953	4826990	39.99	742931	6.15	53.71	0.00	0.14	0.01	0.98	21.97
QIAseq_miRXplore_UMI	13325438	5315070	39.89	810891	6.09	53.88	0.00	0.14	0.00	0.99	21.98
QIAseq_plasma_UMI	8424057	1720374	20.42	5984386	71.04	8.22	0.01	0.29	0.02	0.35	21.24
QIAseq_plasma_UMI	8532951	1800702	21.1	5964886	69.9	8.65	0.01	0.32	0.02	0.34	21.21
