Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
Norgen_miRXplore	6640849	5540054	83.42	226862	3.42	0.36	0.00	0.95	11.86	0.45	21.98
EdgeSeq_miRXplore	1744065	1680538	96.36	50740	2.91	0.31	0.00	0.04	0.38	0.03	18.92
EdgeSeq_miRXplore	1956043	1883970	96.32	57778	2.95	0.31	0.00	0.04	0.38	0.03	18.92
EdgeSeq_plasma	1485742	1475357	99.3	6900	0.46	0.17	0.00	0.03	0.03	0.00	18.94
EdgeSeq_plasma	1541489	1530926	99.31	7152	0.46	0.16	0.00	0.03	0.03	0.00	18.93
Lexogen_miRXplore	4319824	3484899	80.67	128913	2.98	0.34	0.00	0.98	15.02	0.46	21.93
Lexogen_miRXplore	3824471	3084208	80.64	117598	3.07	0.38	0.00	1.15	14.75	0.47	21.93
Lexogen_plasma	2804916	2190617	78.1	92107	3.28	0.70	0.00	1.47	16.44	0.15	21.57
Lexogen_plasma	4392385	3476912	79.16	167108	3.8	0.82	0.00	1.34	14.88	0.16	21.54
NEXTflex_miRXplore	4671511	3872310	82.89	99246	2.12	0.79	0.00	2.37	11.83	0.52	21.70
NEXTflex_miRXplore	4695322	3924288	83.58	106254	2.26	0.75	0.00	2.52	10.89	0.51	21.73
NEXTflex_plasma	6091133	5345932	87.77	157369	2.58	0.77	0.00	1.03	7.86	0.12	21.10
NEXTflex_plasma	8108867	6860838	84.61	289743	3.57	0.87	0.00	1.41	9.54	0.13	21.13
Norgen_miRXplore	6106933	5113376	83.73	181597	2.97	0.34	0.00	0.99	11.97	0.45	21.99
Norgen_plasma	8541071	6470725	75.76	121823	1.43	0.20	0.00	0.42	22.19	0.14	21.72
Norgen_plasma	9216028	6959897	75.52	132072	1.43	0.23	0.00	0.44	22.38	0.14	21.72
QIAseq_miRXplore	5585075	4646869	83.2	111217	1.99	0.81	0.00	4.25	9.75	0.58	21.90
QIAseq_miRXplore	6142731	5147141	83.79	104981	1.71	0.63	0.00	4.58	9.29	0.59	21.90
QIAseq_plasma	7736288	7037592	90.97	164516	2.13	0.86	0.00	1.12	4.93	0.15	21.64
QIAseq_plasma	7797384	7084417	90.86	182504	2.34	0.85	0.00	1.06	4.89	0.15	21.62
RealSeq_miRXplore	8793187	7385365	83.99	197344	2.24	2.47	0.00	2.50	8.79	0.84	21.71
RealSeq_miRXplore	6407424	5383946	84.03	150412	2.35	2.55	0.00	2.61	8.47	0.91	21.71
RealSeq_plasma	10587345	7801150	73.68	145110	1.37	0.27	0.00	0.67	24.01	0.26	20.92
RealSeq_plasma	8513763	6305352	74.06	116947	1.37	0.30	0.00	0.71	23.56	0.30	20.92
SMARTer_miRXplore	3370946	2526187	74.94	125030	3.71	3.74	0.00	5.29	12.32	1.54	21.09
SMARTer_miRXplore	2781532	2071518	74.47	103385	3.72	3.81	0.00	5.33	12.66	1.63	21.09
SMARTer_plasma	726085	314056	43.25	35029	4.82	3.73	0.00	12.45	35.74	1.62	20.77
SMARTer_plasma	790644	342678	43.34	42514	5.38	3.67	0.00	12.53	35.08	1.60	20.74
NEXTflex_miRXplore_UMI	4670189	3871203	82.89	99217	2.12	0.79	0.00	2.37	11.83	0.52	21.70
NEXTflex_miRXplore_UMI	4694031	3923208	83.58	106231	2.26	0.75	0.00	2.52	10.88	0.51	21.73
NEXTflex_plasma_UMI	6089492	5344456	87.77	157330	2.58	0.77	0.00	1.03	7.86	0.12	21.10
NEXTflex_plasma_UMI	8106864	6859077	84.61	289676	3.57	0.87	0.00	1.41	9.54	0.13	21.13
QIAseq_miRXplore_UMI	5569921	4634278	83.2	110854	1.99	0.81	0.00	4.25	9.75	0.58	21.90
QIAseq_miRXplore_UMI	6125961	5133013	83.79	104653	1.71	0.63	0.00	4.58	9.29	0.59	21.90
QIAseq_plasma_UMI	7704760	7007945	90.96	163996	2.13	0.86	0.00	1.12	4.94	0.15	21.64
QIAseq_plasma_UMI	7765588	7054283	90.84	182091	2.34	0.85	0.00	1.07	4.89	0.15	21.62
