Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
Norgen_miRXplore	6640849	4692568	70.66	1337727	20.14	7.70	0.00	1.48	0.01	0.55	22.05
EdgeSeq_miRXplore	1744065	1483987	85.09	253909	14.56	0.31	0.00	0.04	0.00	0.03	18.89
EdgeSeq_miRXplore	1956043	1662275	84.98	286933	14.67	0.31	0.00	0.04	0.00	0.03	18.89
EdgeSeq_plasma	1485742	207100	13.94	1275612	85.86	0.17	0.00	0.03	0.00	0.03	18.53
EdgeSeq_plasma	1541489	214751	13.93	1323752	85.87	0.16	0.00	0.03	0.00	0.02	18.51
Lexogen_miRXplore	4319824	3153431	73.0	611374	14.15	11.34	0.00	1.49	0.01	0.44	21.96
Lexogen_miRXplore	3824471	2810807	73.5	522310	13.66	11.19	0.00	1.64	0.01	0.46	21.95
Lexogen_plasma	2804916	366532	13.07	2361545	84.19	1.13	0.00	1.60	0.01	0.28	21.24
Lexogen_plasma	4392385	609596	13.88	3677029	83.71	1.01	0.00	1.39	0.01	0.27	21.21
NEXTflex_miRXplore	4671511	3642632	77.98	595021	12.74	4.96	0.00	4.30	0.03	0.58	21.76
NEXTflex_miRXplore	4695322	3680838	78.39	619636	13.2	4.39	0.00	3.99	0.03	0.58	21.79
NEXTflex_plasma	6091133	1035370	17.0	4932662	80.98	0.66	0.00	1.35	0.01	0.29	21.26
NEXTflex_plasma	8108867	1656570	20.43	6242324	76.98	0.68	0.00	1.90	0.01	0.29	21.26
Norgen_miRXplore	6106933	4366201	71.5	1161249	19.02	7.99	0.00	1.49	0.01	0.54	22.05
Norgen_plasma	8541071	336296	3.94	8145111	95.36	0.29	0.00	0.40	0.00	0.32	21.25
Norgen_plasma	9216028	400735	4.35	8751774	94.96	0.28	0.00	0.41	0.00	0.31	21.20
QIAseq_miRXplore	5585075	4322226	77.39	678152	12.14	4.49	0.00	5.97	0.01	0.64	21.91
QIAseq_miRXplore	6142731	4744038	77.23	729358	11.87	4.40	0.00	6.49	0.01	0.63	21.91
QIAseq_plasma	7736288	1385535	17.91	6261760	80.94	0.50	0.00	0.64	0.01	0.31	21.26
QIAseq_plasma	7797384	1417217	18.18	6284382	80.6	0.52	0.00	0.70	0.01	0.29	21.23
RealSeq_miRXplore	8793187	7283033	82.83	961901	10.94	2.79	0.00	3.43	0.01	0.83	21.73
RealSeq_miRXplore	6407424	5296717	82.67	721194	11.26	2.73	0.00	3.34	0.01	0.91	21.73
RealSeq_plasma	10587345	396988	3.75	9694531	91.57	3.95	0.00	0.71	0.02	0.64	21.26
RealSeq_plasma	8513763	279704	3.29	7841392	92.1	3.85	0.00	0.74	0.02	0.72	21.28
SMARTer_miRXplore	3370946	2533952	75.17	420386	12.47	7.07	0.00	5.25	0.03	1.61	21.20
SMARTer_miRXplore	2781532	2088783	75.09	346432	12.45	7.22	0.00	5.20	0.03	1.70	21.20
SMARTer_plasma	726085	189166	26.05	193188	26.61	29.32	0.00	17.59	0.43	1.54	20.61
SMARTer_plasma	790644	212437	26.87	209562	26.51	28.68	0.00	17.50	0.45	1.55	20.60
NEXTflex_miRXplore_UMI	4670189	3641612	77.98	594842	12.74	4.96	0.00	4.30	0.03	0.58	21.76
NEXTflex_miRXplore_UMI	4694031	3679822	78.39	619455	13.2	4.39	0.00	4.00	0.03	0.58	21.79
NEXTflex_plasma_UMI	6089492	1035100	17.0	4931275	80.98	0.66	0.00	1.36	0.01	0.29	21.26
NEXTflex_plasma_UMI	8106864	1656135	20.43	6240720	76.98	0.68	0.00	1.90	0.01	0.29	21.26
QIAseq_miRXplore_UMI	5569921	4310704	77.39	676048	12.14	4.49	0.00	5.97	0.01	0.64	21.91
QIAseq_miRXplore_UMI	6125961	4731315	77.23	727008	11.87	4.40	0.00	6.49	0.01	0.63	21.91
QIAseq_plasma_UMI	7704760	1381081	17.93	6234952	80.92	0.50	0.00	0.64	0.01	0.31	21.26
QIAseq_plasma_UMI	7765588	1413056	18.2	6257061	80.57	0.52	0.00	0.70	0.01	0.29	21.23
