Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
EdgeSeq_plasma	2079	46	2.21	675	32.47	38.05	0.05	20.92	6.30	2.53	21.52
EdgeSeq_plasma	2066	51	2.47	736	35.62	35.09	0.00	20.76	6.05	3.53	21.14
Lexogen_plasma	68380	2284	3.34	3235	4.73	15.96	0.56	28.78	46.63	0.93	21.04
Lexogen_plasma	92729	3763	4.06	5915	6.38	13.11	1.03	17.48	57.94	0.74	20.90
NEXTflex_plasma	100881	6046	5.99	9785	9.7	19.26	1.29	36.23	27.53	1.33	19.56
NEXTflex_plasma	182724	9531	5.22	17712	9.69	18.07	1.21	36.84	28.97	1.24	19.49
Norgen_plasma	55140	3081	5.59	3662	6.64	14.98	1.52	14.31	56.96	0.71	21.91
Norgen_plasma	59987	3192	5.32	5718	9.53	14.27	1.05	11.48	58.34	0.55	22.15
QIAseq_plasma	74743	4189	5.6	10496	14.04	24.25	2.01	24.84	29.26	1.67	20.08
QIAseq_plasma	79752	4417	5.54	10670	13.38	22.94	2.31	25.78	30.05	1.55	20.33
RealSeq_plasma	331604	7097	2.14	42277	12.75	32.01	2.79	13.89	36.41	0.73	21.96
RealSeq_plasma	278067	5909	2.13	36564	13.15	33.54	2.77	15.57	32.84	0.77	21.95
SMARTer_plasma	263801	10675	4.05	50082	18.98	16.38	2.86	13.69	44.04	2.29	20.32
SMARTer_plasma	282231	11696	4.14	53585	18.99	16.83	3.17	14.05	42.82	2.30	20.39
