Sample	Input reads	Unique	Unique%	Multimapping	Multimapping%	Too many mismatches%	Too many loci%	Too short%	unmapped other%	Mismatch rate	Mapped_Length
EdgeSeq_plasma	1358	37	2.72	3	0.22	67.60	0.00	29.46	0.00	1.71	22.19
EdgeSeq_plasma	1279	33	2.58	4	0.31	69.59	0.00	27.52	0.00	1.08	22.52
Lexogen_plasma	62861	2108	3.35	25612	40.74	30.20	0.05	25.53	0.12	1.23	19.50
Lexogen_plasma	83051	2401	2.89	42888	51.64	22.91	0.04	22.20	0.33	1.30	19.68
NEXTflex_plasma	85050	4383	5.15	22975	27.01	23.45	0.00	44.17	0.21	1.02	19.08
NEXTflex_plasma	155481	8275	5.32	43845	28.2	20.44	0.00	45.77	0.26	1.04	19.10
Norgen_plasma	48397	1863	3.85	23339	48.22	26.87	0.00	20.82	0.23	0.91	19.14
Norgen_plasma	51077	2592	5.07	25852	50.61	24.50	0.07	19.53	0.21	1.39	19.60
QIAseq_plasma	60058	5265	8.77	15626	26.02	29.37	0.00	35.49	0.36	2.06	20.08
QIAseq_plasma	64665	5239	8.1	16628	25.71	28.72	0.00	37.12	0.35	1.76	19.73
RealSeq_plasma	282230	108476	38.44	112974	40.03	10.66	0.03	10.61	0.24	4.08	22.92
RealSeq_plasma	235594	95200	40.41	85811	36.42	10.93	0.03	11.98	0.22	4.11	22.93
SMARTer_plasma	203044	4625	2.28	86045	42.38	36.27	0.11	17.52	1.45	1.85	20.14
SMARTer_plasma	216950	5049	2.33	89746	41.37	36.57	0.14	17.95	1.65	1.87	20.16
